time_from_start,panda_joint1_pos,panda_joint1_vel,panda_joint2_pos,panda_joint2_vel,panda_joint3_pos,panda_joint3_vel,panda_joint4_pos,panda_joint4_vel,panda_joint5_pos,panda_joint5_vel,panda_joint6_pos,panda_joint6_vel,panda_joint7_pos,panda_joint7_vel,eef_pos_x,eef_pos_y,eef_pos_z,eef_orient_x,eef_orient_y,eef_orient_z,eef_orient_w
0,0.000140103,0.00181348,-0.786659,-0.0110612,4.31039e-05,-0.00447653,-2.35493,-0.0171502,1.45707e-05,-0.00479484,1.57599,0.0067837,0.785363,0.00121493,0.307149,6.2502e-05,0.591725,-0.923914,0.382582,-0.00356518,0.00146818
0.033,0.000129026,0.00400888,-0.786657,0.000655667,3.58204e-05,-0.000913317,-2.35492,0.00952462,1.47825e-05,0.00492332,1.57597,-0.0102516,0.785359,-0.00185786,0.307149,6.18303e-05,0.591724,-0.923912,0.382586,-0.00356837,0.00146972
0.066,0.000140477,0.000810983,-0.786659,-0.0110166,4.31207e-05,-0.00357262,-2.35493,-0.0171409,1.51616e-05,-0.00411561,1.57599,0.00675026,0.785363,0.00112875,0.307148,5.55366e-05,0.591728,-0.92391,0.382591,-0.00356346,0.00147055
0.1,0.000140263,0.000701345,-0.786659,-0.0110226,4.43505e-05,-0.00354206,-2.35493,-0.0171414,1.56686e-05,-0.00420017,1.57599,0.00675346,0.785363,0.00114204,0.307149,6.20149e-05,0.591724,-0.923912,0.382585,-0.00356826,0.00146999
0.133,0.000178732,-0.00355347,-0.786656,0.00241956,4.75914e-05,-0.00170448,-2.35492,-0.00444128,1.91746e-05,-0.00744594,1.57599,0.00784876,0.785362,0.0038503,0.307149,6.24953e-05,0.591724,-0.923912,0.382585,-0.00356834,0.00146982
0.167,0.000150763,-0.00552457,-0.786659,0.00848962,4.93668e-05,0.0145403,-2.35492,0.0124177,2.66752e-05,0.0112418,1.57598,-0.00397709,0.785359,-0.00230662,0.30715,7.59814e-05,0.591728,-0.92392,0.382566,-0.0035697,0.00147113
0.2,0.000150834,-0.00551764,-0.786659,0.00849003,4.8627e-05,0.0145641,-2.35492,0.0124182,2.66557e-05,0.0112503,1.57598,-0.00397694,0.785359,-0.0023073,0.307149,6.89e-05,0.59173,-0.923916,0.382576,-0.00356808,0.00147377
0.233,0.000150931,-0.00533371,-0.786659,0.00849465,4.81166e-05,0.0144572,-2.35492,0.0124153,2.58956e-05,0.0113477,1.57598,-0.00397018,0.785359,-0.00233419,0.307149,6.86236e-05,0.59173,-0.923916,0.382577,-0.00356797,0.001474
0.266,0.000128997,0.00400828,-0.786657,0.000655579,3.61025e-05,-0.000918173,-2.35492,0.00952445,1.48054e-05,0.00492086,1.57597,-0.0102516,0.785359,-0.00185781,0.307149,6.83685e-05,0.59173,-0.923916,0.382577,-0.00356806,0.00147382
0.3,0.000128997,0.00400828,-0.786657,0.000655579,3.61025e-05,-0.000918173,-2.35492,0.00952445,1.48054e-05,0.00492086,1.57597,-0.0102516,0.785359,-0.00185781,0.307148,5.56429e-05,0.591728,-0.92391,0.382591,-0.00356349,0.00147047
