time_from_start,panda_joint1_pos,panda_joint2_pos,panda_joint3_pos,panda_joint4_pos,panda_joint5_pos,panda_joint6_pos,panda_joint7_pos,panda_joint1_vel,panda_joint2_vel,panda_joint3_vel,panda_joint4_vel,panda_joint5_vel,panda_joint6_vel,panda_joint7_vel,ee_pos_x,ee_pos_y,ee_pos_z,ee_ori_x,ee_ori_y,ee_ori_z,ee_ori_w
0,0.000145499,0,-0.786759,0,7.3631e-05,0,-2.3548,0,3.42621e-05,0,1.57646,0,0.785349,0,0.307176,7.78099e-05,0.591859,0.923919,-0.382566,0.00389042,-0.00160213
0.184455,0.000142679,-2.5562e-05,-0.755319,0.292046,7.1659e-05,-1.78303e-05,-2.33653,0.174723,3.12538e-05,-2.73262e-05,1.58963,0.117323,0.785346,-2.74238e-05,0.317176,7.78099e-05,0.591859,0.923919,-0.382566,0.00389042,-0.00160212
0.260226,0.000139964,-4.03124e-05,-0.723977,0.47459,6.9767e-05,-2.80506e-05,-2.31756,0.293882,2.83485e-05,-4.3231e-05,1.602,0.180709,0.785343,-4.31468e-05,0.327176,7.78099e-05,0.591859,0.923919,-0.382566,0.00389043,-0.00160211
0.31856,0.000137351,-4.7687e-05,-0.692737,0.581283,6.7951e-05,-3.31259e-05,-2.29788,0.373865,2.55416e-05,-5.1375e-05,1.61356,0.207418,0.78534,-5.0976e-05,0.337176,7.78099e-05,0.591859,0.923919,-0.382566,0.00389043,-0.0016021
0.368217,0.000134839,-5.27663e-05,-0.661601,0.66679,6.6207e-05,-3.66353e-05,-2.2775,0.445122,2.28288e-05,-5.71715e-05,1.62432,0.221668,0.785337,-5.64274e-05,0.347176,7.78099e-05,0.591859,0.923919,-0.382566,0.00389044,-0.00160209
0.412139,0.000132426,-5.24025e-05,-0.630568,0.686078,6.45314e-05,-3.64058e-05,-2.25643,0.474183,2.02061e-05,-5.7141e-05,1.63427,0.211895,0.785335,-5.61516e-05,0.357176,7.78099e-05,0.591859,0.923919,-0.382566,0.00389044,-0.00160208
0.458612,0.000130109,-4.60109e-05,-0.599635,0.625222,6.29206e-05,-3.2023e-05,-2.23465,0.44734,1.76701e-05,-5.05449e-05,1.64343,0.177883,0.785332,-4.94918e-05,0.367176,7.78099e-05,0.591859,0.923919,-0.382566,0.00389045,-0.00160206
0.511338,0.000127886,-3.79757e-05,-0.568798,0.536107,6.13712e-05,-2.65094e-05,-2.21218,0.396722,1.52173e-05,-4.2064e-05,1.6518,0.139386,0.78533,-4.10825e-05,0.377176,7.78099e-05,0.591859,0.923919,-0.382566,0.00389045,-0.00160205
0.574426,0.000125754,-2.8814e-05,-0.538051,0.422652,5.98802e-05,-2.01958e-05,-2.18901,0.322967,1.28446e-05,-3.21998e-05,1.65938,0.0996854,0.785328,-3.14054e-05,0.387176,7.78099e-05,0.591859,0.923919,-0.382566,0.00389046,-0.00160204
0.660104,0.000123712,-1.93886e-05,-0.507384,0.295795,5.84445e-05,-1.36602e-05,-2.16514,0.233209,1.05492e-05,-2.18755e-05,1.66617,0.0625855,0.785325,-2.1333e-05,0.397176,7.78099e-05,0.591859,0.923919,-0.382566,0.00389046,-0.00160203
